Users;Department;Position;Local admin privileges;Domain admin privileges;Service admin;Development and admin tools available;OS;AV protection;Posession of data on security and administration;Key business role;Internet access;Confidential information;Science and technology information;Production info;Management info;Financial info;Market info;Price info;Partner info;Security management info;Personal data;ÄÑÏ (rus);24 x 7 working hours;High performance applications;Interactions with external IS;Electronic eternal information exchange;Initial qualification;Number of projects;Project 6;Project 21;Project 27;Project 33;Project 41;Project 44;Project 46;Project 47;Project 49;Project 60
User 81;Department 45;Position 115;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;4;0;0;1;0;0;0;0;1;1;0
User 82;Department 52;Position 43;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 83;Department 18;Position 140;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;user;1;0;0;0;0;0;1;0;0;0;0
User 84;Department 22;Position 9;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 85;Department 43;Position 12;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;user;28;0;1;1;0;0;0;0;0;0;0
User 86;Department 53;Position 203;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 87;Department 53;Position 203;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 88;Department 28;Position 178;0;0;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;user;0;0;0;0;0;0;0;0;0;0;0
User 89;Department 51;Position 87;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 90;Department 36;Position 21;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;programmer;3;0;0;0;0;0;0;1;0;0;0
User 91;Department 22;Position 86;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 92;Department 12;Position 13;1;0;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 93;Department 2;Position 251;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 94;Department 46;Position 111;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;3;1;0;0;0;0;0;0;0;0;0
User 95;Department 31;Position 85;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;user;6;0;1;0;0;1;0;0;0;1;0
User 96;Department 31;Position 85;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;6;0;1;0;0;1;0;0;0;1;0
User 97;Department 49;Position 163;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 98;Department 48;Position 102;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 99;Department 19;Position 83;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 100;Department 22;Position 9;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 101;Department 12;Position 20;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
